features_1,speaker1,features_2,other_speaker,label
audio-dev-clean/LibriSpeech/dev-clean/174/168635/174-168635-0009.flac,174,audio-dev-clean/LibriSpeech/dev-clean/1462/170142/1462-170142-0039.flac,1462,False
audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0010.flac,174,audio-dev-clean/LibriSpeech/dev-clean/1272/135031/1272-135031-0016.flac,1272,False
audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0002.flac,174,audio-dev-clean/LibriSpeech/dev-clean/174/168635/174-168635-0009.flac,174,True
audio-dev-clean/LibriSpeech/dev-clean/1673/143397/1673-143397-0007.flac,1673,audio-dev-clean/LibriSpeech/dev-clean/1673/143396/1673-143396-0014.flac,1673,True
audio-dev-clean/LibriSpeech/dev-clean/1673/143397/1673-143397-0001.flac,1673,audio-dev-clean/LibriSpeech/dev-clean/1673/143396/1673-143396-0014.flac,1673,True
audio-dev-clean/LibriSpeech/dev-clean/1673/143396/1673-143396-0014.flac,1673,audio-dev-clean/LibriSpeech/dev-clean/8297/275154/8297-275154-0004.flac,8297,False
audio-dev-clean/LibriSpeech/dev-clean/1462/170145/1462-170145-0009.flac,1462,audio-dev-clean/LibriSpeech/dev-clean/1462/170142/1462-170142-0040.flac,1462,True
audio-dev-clean/LibriSpeech/dev-clean/1462/170138/1462-170138-0002.flac,1462,audio-dev-clean/LibriSpeech/dev-clean/84/121123/84-121123-0006.flac,84,False
audio-dev-clean/LibriSpeech/dev-clean/1462/170142/1462-170142-0040.flac,1462,audio-dev-clean/LibriSpeech/dev-clean/1673/143396/1673-143396-0011.flac,1673,False
audio-dev-clean/LibriSpeech/dev-clean/1272/128104/1272-128104-0012.flac,1272,audio-dev-clean/LibriSpeech/dev-clean/1272/141231/1272-141231-0004.flac,1272,True
audio-dev-clean/LibriSpeech/dev-clean/1272/135031/1272-135031-0023.flac,1272,audio-dev-clean/LibriSpeech/dev-clean/2902/9006/2902-9006-0014.flac,2902,False
audio-dev-clean/LibriSpeech/dev-clean/1272/141231/1272-141231-0004.flac,1272,audio-dev-clean/LibriSpeech/dev-clean/1272/135031/1272-135031-0023.flac,1272,True
audio-dev-clean/LibriSpeech/dev-clean/1272/141231/1272-141231-0029.flac,1272,audio-dev-clean/LibriSpeech/dev-clean/1272/141231/1272-141231-0029.flac,1272,True
audio-dev-clean/LibriSpeech/dev-clean/1919/142785/1919-142785-0003.flac,1919,audio-dev-clean/LibriSpeech/dev-clean/2078/142845/2078-142845-0002.flac,2078,False
audio-dev-clean/LibriSpeech/dev-clean/1919/142785/1919-142785-0000.flac,1919,audio-dev-clean/LibriSpeech/dev-clean/1919/142785/1919-142785-0003.flac,1919,True
audio-dev-clean/LibriSpeech/dev-clean/1919/142785/1919-142785-0021.flac,1919,audio-dev-clean/LibriSpeech/dev-clean/1919/142785/1919-142785-0035.flac,1919,True
audio-dev-clean/LibriSpeech/dev-clean/1919/142785/1919-142785-0035.flac,1919,audio-dev-clean/LibriSpeech/dev-clean/2086/149220/2086-149220-0025.flac,2086,False
audio-dev-clean/LibriSpeech/dev-clean/1993/147966/1993-147966-0000.flac,1993,audio-dev-clean/LibriSpeech/dev-clean/652/130726/652-130726-0010.flac,652,False
audio-dev-clean/LibriSpeech/dev-clean/1993/147149/1993-147149-0016.flac,1993,audio-dev-clean/LibriSpeech/dev-clean/1993/147149/1993-147149-0016.flac,1993,True
audio-dev-clean/LibriSpeech/dev-clean/1993/147966/1993-147966-0002.flac,1993,audio-dev-clean/LibriSpeech/dev-clean/2078/142845/2078-142845-0031.flac,2078,False
audio-dev-clean/LibriSpeech/dev-clean/1993/147964/1993-147964-0000.flac,1993,audio-dev-clean/LibriSpeech/dev-clean/6241/61943/6241-61943-0002.flac,6241,False
audio-dev-clean/LibriSpeech/dev-clean/2086/149220/2086-149220-0011.flac,2086,audio-dev-clean/LibriSpeech/dev-clean/1272/141231/1272-141231-0008.flac,1272,False
audio-dev-clean/LibriSpeech/dev-clean/2086/149214/2086-149214-0004.flac,2086,audio-dev-clean/LibriSpeech/dev-clean/1673/143396/1673-143396-0004.flac,1673,False
audio-dev-clean/LibriSpeech/dev-clean/2086/149220/2086-149220-0021.flac,2086,audio-dev-clean/LibriSpeech/dev-clean/3752/4943/3752-4943-0009.flac,3752,False
audio-dev-clean/LibriSpeech/dev-clean/2086/149220/2086-149220-0035.flac,2086,audio-dev-clean/LibriSpeech/dev-clean/8842/304647/8842-304647-0011.flac,8842,False
audio-dev-clean/LibriSpeech/dev-clean/2078/142845/2078-142845-0031.flac,2078,audio-dev-clean/LibriSpeech/dev-clean/2078/142845/2078-142845-0018.flac,2078,True
audio-dev-clean/LibriSpeech/dev-clean/2078/142845/2078-142845-0005.flac,2078,audio-dev-clean/LibriSpeech/dev-clean/1993/147149/1993-147149-0014.flac,1993,False
audio-dev-clean/LibriSpeech/dev-clean/2078/142845/2078-142845-0018.flac,2078,audio-dev-clean/LibriSpeech/dev-clean/2078/142845/2078-142845-0031.flac,2078,True
audio-dev-clean/LibriSpeech/dev-clean/1988/24833/1988-24833-0022.flac,1988,audio-dev-clean/LibriSpeech/dev-clean/5895/34622/5895-34622-0005.flac,5895,False
audio-dev-clean/LibriSpeech/dev-clean/1988/147956/1988-147956-0017.flac,1988,audio-dev-clean/LibriSpeech/dev-clean/3000/15664/3000-15664-0039.flac,3000,False
audio-dev-clean/LibriSpeech/dev-clean/1988/147956/1988-147956-0000.flac,1988,audio-dev-clean/LibriSpeech/dev-clean/5536/43359/5536-43359-0007.flac,5536,False
audio-dev-clean/LibriSpeech/dev-clean/2035/147960/2035-147960-0010.flac,2035,audio-dev-clean/LibriSpeech/dev-clean/8842/304647/8842-304647-0011.flac,8842,False
audio-dev-clean/LibriSpeech/dev-clean/2035/147961/2035-147961-0031.flac,2035,audio-dev-clean/LibriSpeech/dev-clean/3853/163249/3853-163249-0055.flac,3853,False
audio-dev-clean/LibriSpeech/dev-clean/2035/147960/2035-147960-0006.flac,2035,audio-dev-clean/LibriSpeech/dev-clean/2035/147960/2035-147960-0010.flac,2035,True
